NomeDisciplina,samples,mae,rmse,mean_signed_error,risk_accuracy,actual_risk_rate
Matemática 3,163,1.4562226910195435,1.70504445686859,0.3806631035880448,0.6871165644171779,0.44785276073619634
Matemática 4 e 5,163,1.4138185503735203,1.8701623130481086,0.6755907765580554,0.8588957055214724,0.25153374233128833
Biologia 2,521,1.286604431656232,1.628789025317561,0.26862474955320426,0.7005758157389635,0.31477927063339733
História 2,163,1.190651188729632,1.4780834369441627,-0.6595149653832953,0.8834355828220859,0.06748466257668712
Matemática 1 e 2,163,1.1333457823995225,1.435864840175847,-0.4409366635291043,0.8957055214723927,0.06748466257668712
Biologia 1,521,1.1302367915652731,1.446944565670639,0.15367389396099146,0.783109404990403,0.2476007677543186
Química 3,163,1.116144972361361,1.4901691316630068,0.7536135280035966,0.7055214723926381,0.3619631901840491
Física 2,521,1.103600252712656,1.3917229300259533,0.16023623364211545,0.7735124760076776,0.32245681381957775
Interpretação Textual,521,1.0738237320068622,1.333414687992876,0.3060854044423316,0.6314779270633397,0.4760076775431862
Física 1,521,1.0558000273650878,1.3224314797245196,0.16517231382718617,0.781190019193858,0.2072936660268714
L.E.M Espanhol,327,0.9710973616822054,1.206011551606557,-0.4066692766481172,0.9418960244648318,0.05198776758409786
História 1,163,0.9032174564428634,1.1958013921604518,0.02625222776857865,0.8466257668711656,0.12269938650306748
Gramática,1244,0.8906402923074679,1.1114500502445337,-0.1737506098566677,0.7307073954983923,0.25643086816720256
Projeto de Vida,358,0.8677910424381057,1.2447805409366182,0.20219271346244197,0.9497206703910615,0.025139664804469275
Química,738,0.8514496533210411,1.1324267928371687,0.15278922860465066,0.8346883468834688,0.1842818428184282
Matemática Fundamental,358,0.8493083137608901,1.1287006759669804,-0.295429622617542,0.8072625698324022,0.07541899441340782
Biologia,738,0.8003853094919036,1.0304552684100416,0.03541992455606862,0.8346883468834688,0.12195121951219512
Matemática 2,1081,0.7990264111635605,1.1322080800477197,0.21157508158523075,0.9148936170212766,0.7493061979648473
Matemática 1,1081,0.7890707352740337,1.0786228405981613,0.020229814583016172,0.8020351526364478,0.4588344125809436
Física,738,0.7855560364588029,1.0179841127758533,0.08205077527724138,0.7926829268292683,0.15989159891598917
Redação,886,0.7829429695537731,1.0086636741547654,-0.45180455366277555,0.8498871331828443,0.05191873589164785
L.E.M Inglês,1245,0.7471295963606807,1.0102451898650304,0.19249975968107902,0.9204819277108434,0.061847389558232935
Geografia,1245,0.7445754625882629,1.0126364336585747,0.32214140698440374,0.957429718875502,0.014457831325301205
Química 1,521,0.7393201541631044,0.9420888557132088,0.39252322594758715,0.8560460652591171,0.8253358925143954
Química 2,521,0.7328709649069993,0.9518479435310687,0.44380579394267505,0.9097888675623801,0.9520153550863724
Literatura,1242,0.7161798365785103,0.9889261218170033,0.17638440576784983,0.9194847020933977,0.4887278582930757
História,1245,0.6929589723472066,0.9657583689942534,0.05461552055070171,0.951004016064257,0.02891566265060241
Ciências da Natureza,724,0.6832013584131376,0.9119058226748246,0.012255149026067797,0.9475138121546961,0.026243093922651933
Matemática,1245,0.6731737869166148,0.8997852014325981,-0.04467032096236026,0.8907630522088353,0.04578313253012048
Filosofia,1245,0.6492101609669839,0.8955403993146827,-0.02858515022496359,0.9646586345381526,0.015261044176706828
Arte,1245,0.6454688525265351,0.8574819426749078,-0.16684674891477688,0.9911646586345382,0.005622489959839358
Sociologia,521,0.6329427030958537,0.8221392654011841,0.045738201793944916,0.9289827255278311,0.013435700575815739
Língua Portuguesa,1245,0.6145272203930218,0.7794821491597027,-0.2186297808106584,0.9333333333333333,0.027309236947791166
Geografia 1,521,0.5674149104688028,0.7775305521786989,0.18405603328171546,0.6871401151631478,0.6065259117082533
Geografia 2,521,0.5482771545243947,0.7203567863983622,0.45131647370720784,1.0,1.0
Produção Textual,358,0.539888854462434,0.6989007737191796,0.12768687893384092,0.9832402234636871,0.002793296089385475
Educação Física,1245,0.4169373906227037,0.838364914307567,0.1961255859610857,0.9903614457831326,0.008835341365461847
Noções de Informática,506,0.16545912174274593,0.275931921119892,0.1362295472932557,1.0,0.0
